productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,lastmodby,ischildofproductcode,ischildofproductcode_productid,options_cloned_from_productid,photos_cloned_from_productid,share_stockstatus_with_productid,productpopularity,homepage_section,autodropship,donotallowbackorders,warehouselocation,warehouseaisle,warehousebin,warehousecustom,upc_code,productkeywords,productnameshort,productweight,freeshippingitem,minqty,maxqty,recurringstartprice,recurringstartduration,recurringprice,recurringhowoften,recurringduration,allowpriceedit,productprice,listprice,saleprice,taxableproduct,selectedoptionids,giftwrapcost,downloadfile,availability,metatag_title,metatag_description,discountedprice_level1,discountedprice_level2,discountedprice_level3,discountedprice_level4,discountedprice_level5,photo_subtext,photo_alttext,discountedrecurringprice_level1,discountedrecurringprice_level2,discountedrecurringprice_level3,discountedrecurringprice_level4,discountedrecurringprice_level5,fixed_shippingcost,fixed_shippingcost_outside_localregion,uses_product_keytypes,price_subtext,price_subtext_short,listprice_name,productprice_name,saleprice_name,hide_yousave,hide_freeaccessories,setupcost,setupcost_name,discountedsetupcost_level1,discountedsetupcost_level2,discountedsetupcost_level3,discountedsetupcost_level4,discountedsetupcost_level5,setupcost_title,stockreorderqty,warehouses,affiliate_commissionable_value,addtocartbtn_replacement_text,book_isbn,productcondition,estship_ground,estship_2ndday,estship_overnight,customfield1,customfield2,customfield3,customfield4,customfield5,shoppingdotcom_category,yahoo_category,yahoo_medium,productmanufacturer,hide_when_outofstock,stocklowqtyalarm,addtopo_now,lastpo_qty,lastpo_date,howtogetsaleprice,inv_verify_qtyonhand,inv_lastverified,enablemultichildaddtocart,vendor_price,enableoptions_inventorycontrol,photourl_small,photourl_large,private_section_customers_only,quickbooks_item_accnt,quickbooks_item_assetaccnt,quickbooks_item_cogsaccnt,vat_percentage,recurring_pricing_text,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription,productfeatures,techspecs,extinfo,orderfinished_note,metatag_keywords,productdescription_abovepricing,custom_metatags_override,ean,google_product_category,google_size,google_color,google_gender,google_age_group,google_availability,google_pattern,google_material,estdaystoship,google_unique_identifier_exists,google_adult_product,google_sizetype,google_sizesystem,nonshippable,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,createddate,mpn,categoryids,optionids,accessories,freeaccessories,producturl,photourl,categorytree,numproductssharingstock,photoseed
WS-21667,21667,Egg Soaking Tub,,,,,10/4/2015 07:25,,,,,,,,,,,,Y,,,,,,,,,200,Y,,,,,,,,,14980,21400,,,,,,6-8 Weeks,Egg Soaking Tub,Egg Soaking Tub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,WS Bath Collections,,,Y,,,,,,,12840,,,,,,,,,,,,,,,,,,,,"Freestanding bathtub with built-in storage shelving for books, candles, and bath accessories.  Dimensions:67.1"" L x 39.4"" W x 18.0"" HFeatures:• Free Standing Bathtub• With Internal Overflow• In Korakril WhiteWhat is Korakril?  Korakril is ideal as a surface for work tops, kitchen sinks, washbasins, showers and for many other applications in the hotel and health sector industries. It is easy to clean and is not affected by the damp, can be used for washbasins and accessories with an endless range of shapes. ",,,,,Egg Soaking Tub,,,,,,,,,,,,,,,,,,,,,,,,,433,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=WS-21667,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
WS-26584,26584,Mastell Soaking Tub,,,,,10/4/2015 07:25,,,,,,,,,,,,Y,,,,,,,,,200,Y,,,,,,,,,10360,14800,,,,,,4-6 Weeks,Mastell Soaking Tub,Mastell Soaking Tub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,WS Bath Collections,,,Y,,,,,,,8880,,,,,,,,,,,,,,,,,,,,"Freestanding soaking tub with built-in handles for safety.Dimensions:70.9"" L x 35.4"" WFeatures:• Free Standing Bathtub• With Internal Overflow• In Korakril WhiteWhat is Korakril?  Korakril is ideal as a surface for work tops, kitchen sinks, washbasins, showers and for many other applications in the hotel and health sector industries. It is easy to clean and is not affected by the damp, can be used for washbasins and accessories with an endless range of shapes. ",,,,,Mastell Soaking Tub,,,,,,,,,,,,,,,,,,,,,,,,,433,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=WS-26584,http://www.salondesign.luxury/v/vspfiles/templates/salondesign/images/nophoto.gif,,0,
