productcode,vendor_partno,productname,displaybegindate,displayenddate,hideproduct,stockstatus,lastmodified,options_cloned_from,photos_cloned_from,share_stockstatus_with,lastmodby,ischildofproductcode,ischildofproductcode_productid,options_cloned_from_productid,photos_cloned_from_productid,share_stockstatus_with_productid,productpopularity,homepage_section,autodropship,donotallowbackorders,warehouselocation,warehouseaisle,warehousebin,warehousecustom,upc_code,productkeywords,productnameshort,productweight,freeshippingitem,minqty,maxqty,recurringstartprice,recurringstartduration,recurringprice,recurringhowoften,recurringduration,allowpriceedit,productprice,listprice,saleprice,taxableproduct,selectedoptionids,giftwrapcost,downloadfile,availability,metatag_title,metatag_description,discountedprice_level1,discountedprice_level2,discountedprice_level3,discountedprice_level4,discountedprice_level5,photo_subtext,photo_alttext,discountedrecurringprice_level1,discountedrecurringprice_level2,discountedrecurringprice_level3,discountedrecurringprice_level4,discountedrecurringprice_level5,fixed_shippingcost,fixed_shippingcost_outside_localregion,uses_product_keytypes,price_subtext,price_subtext_short,listprice_name,productprice_name,saleprice_name,hide_yousave,hide_freeaccessories,setupcost,setupcost_name,discountedsetupcost_level1,discountedsetupcost_level2,discountedsetupcost_level3,discountedsetupcost_level4,discountedsetupcost_level5,setupcost_title,stockreorderqty,warehouses,affiliate_commissionable_value,addtocartbtn_replacement_text,book_isbn,productcondition,estship_ground,estship_2ndday,estship_overnight,customfield1,customfield2,customfield3,customfield4,customfield5,shoppingdotcom_category,yahoo_category,yahoo_medium,productmanufacturer,hide_when_outofstock,stocklowqtyalarm,addtopo_now,lastpo_qty,lastpo_date,howtogetsaleprice,inv_verify_qtyonhand,inv_lastverified,enablemultichildaddtocart,vendor_price,enableoptions_inventorycontrol,photourl_small,photourl_large,private_section_customers_only,quickbooks_item_accnt,quickbooks_item_assetaccnt,quickbooks_item_cogsaccnt,vat_percentage,recurring_pricing_text,google_product_type,length,width,height,ships_by_itself,package_type,oversized,additional_handling_indicator,reward_points_given_for_purchase,productdescriptionshort,productdescription,productfeatures,techspecs,extinfo,orderfinished_note,metatag_keywords,productdescription_abovepricing,custom_metatags_override,ean,google_product_category,google_size,google_color,google_gender,google_age_group,google_availability,google_pattern,google_material,estdaystoship,google_unique_identifier_exists,google_adult_product,google_sizetype,google_sizesystem,nonshippable,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,createddate,mpn,categoryids,optionids,accessories,freeaccessories,producturl,photourl,categorytree,numproductssharingstock,photoseed
GAF0090RE,,Midnight Reception Desk,,,,,5/11/2016 11:21,,,,1,,,,,,,,N,N,,,,,,"reception desk, modern reception desk, desk, reception",Midnight-Reception-Desk,500,N,,,,,,,,N,4055,,,,,,,Usually Ships in 6 to 8 Weeks,Illuminated Reception Desk for Salon & Spa | Midnight,"This sleek & modern desk is designed for today's modern spa & salon. Crafted in Italy of premium materials. Shop Michele Pelafas, Inc. today!",,,,,,,Illuminated Reception Desk for Salon & Spa | Midnight,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,N,,N,,,,,,N,2838.5,N,,,,,,,,,,,,,N,,N,N,,,"Reception Desk with decorated front (either glossy, black or white). With front illumination. Made in Italy.Dimensions200 x 62 x 105 H(78.7'' W x 24.4'' D x 41.3'' H) Lead times may vary, please contact us for more information.",,,,,"reception desk, modern reception desk, desk, reception",,,,Business & Industrial>Retail,,,,,,,,,FALSE,FALSE,,,,,,,,,,,"265,306,209",,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAF0090RE,http://www.salondesign.luxury/v/vspfiles/photos/GAF0090RE-1.jpg,Reception & Waiting,0,1434973725
GAF0100PL,,Parlor Wall Styling Station,,,,,11/18/2015 14:13,,,,1,,,,,,,,N,N,,,,,,"styling station, hair salon station, Italian styling station, island styling station, island styling, three person styling station, salon equipment, modern salon equipment",,200,N,,,,,,,,N,1112,,,,,,,Usually Ships in 6 to 8 Weeks,Parlor Wall Styling Station,Parlor Wall Styling Station,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,N,,N,,,,,,N,778.4,N,,,,,,,,,,,,,N,,N,N,,,"Wall Styling Unit with Glossy black or white frame. Made in ItalyDimensions80 x 28 x 214 H(31.5'' W x 11'' D x 84.3'' H) Lead times may vary, please contact us for more information.",,,,,"styling station, hair salon station, Italian styling station, island styling station, island styling, three person styling station, salon equipment, modern salon equipment",,,,Business & Industrial>Hairdressing & Cosmetology>Styling Stations,,,,,,,,,FALSE,FALSE,,,,,,,,,,,288,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAF0100PL,http://www.salondesign.luxury/v/vspfiles/photos/GAF0100PL-1.jpg,Styling Area > Styling Mirrors,0,1434973750
GAF0100RE,,Sunrise 100 Reception Desk,,,,,6/22/2015 10:21,,,,,,,,,,,,N,N,,,,,,"reception desk, modern reception desk, desk, reception",,500,N,,,,,,,,N,2522,,,,,,,Usually Ships in 6 to 8 Weeks,Sunrise 100 Reception Desk,Sunrise 100 Reception Desk,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,,,N,,,,,,N,1765.4,N,,,,,,,,,,,,,N,,N,N,,,"Reception desk . Made in Italy.Dimensions100 x 76 x 106 H(39'' W x 29.9'' D x 41.7'' H)Lead times may vary, please contact us for more information.",,,,,"reception desk, modern reception desk, desk, reception",,,,Business & Industrial>Retail,,,,,,,,,FALSE,FALSE,,,,,,,,,,,"265,306",,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAF0100RE,http://www.salondesign.luxury/v/vspfiles/photos/GAF0100RE-1.jpg,Reception & Waiting,0,1434973776
GAF0102PL,,Style 84 Styling Station,,,,,5/11/2016 11:30,,,,1,,,,,,,,N,N,,,,,,"styling station, hair salon station, Italian styling station, island styling station, island styling, three person styling station, salon equipment, modern salon equipment",Style-84-Styling-Station,200,N,,,,,,,,N,1261,,,,,,,Usually Ships in 6 to 8 Weeks,Mirrored Styling Station & Storage for Salon & Spa | Style 84,"This modern styling station, complete with mirror & storage, is perfect for today's salons & spa. Shop this incredible piece now with Michele Pelafas, Inc.",,,,,,,Mirrored Styling Station & Storage for Salon & Spa | Style 84,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,N,,N,,,,,,N,882.7,N,,,,,,,,,,,,,N,,N,N,,,"One Mirror, cabinet door which opens up for more space and hair-dryer holders.Dimensions50 x 33 x 179 H(19.7'' x 13'' x 70.5'' H)Lead times may vary, please contact us for more information.",,,,,"styling station, hair salon station, Italian styling station, island styling station, island styling, three person styling station, salon equipment, modern salon equipment",,,,Business & Industrial>Hairdressing & Cosmetology>Styling Stations,,,,,,,,,FALSE,FALSE,,,,,,,,,,,"287,209",,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAF0102PL,http://www.salondesign.luxury/v/vspfiles/photos/GAF0102PL-1.jpg,Styling Area > Styling Stations,0,1434973801
GAF0150RE,,Sunrise 150 Reception Desk,,,,,9/27/2015 13:21,,,,1,,,,,,,,N,N,,,,,,"reception desk, modern reception desk, desk, reception",,500,N,,,,,,,,N,3222,,,,,,,Usually Ships in 6 to 8 Weeks,Sunrise 150 Reception Desk,Sunrise 150 Reception Desk,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,N,,N,,,,,,N,2255.4,N,,,,,,,,,,,,,N,,N,N,,,"Reception desk. Made in Italy.Dimensions150 x 76 x 106 H(59'' W x 29.9'' D x 41.7'' H)Lead times may vary, please contact us for more information.",,,,,"reception desk, modern reception desk, desk, reception",,,,Business & Industrial>Retail,,,,,,,,,FALSE,FALSE,,,,,,,,,,,"265,306",,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAF0150RE,http://www.salondesign.luxury/v/vspfiles/photos/GAF0150RE-1.jpg,Reception & Waiting,0,1443352877
GAF0200RE,,Sunrise 200 Reception Desk,,,,,9/27/2015 13:22,,,,1,,,,,,,,N,N,,,,,,"reception desk, modern reception desk, desk, reception",,500,N,,,,,,,,N,3924,,,,,,,Usually Ships in 6 to 8 Weeks,Sunrise 200 Reception Desk,Sunrise 200 Reception Desk,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,N,,N,,,,,,N,2746.8,N,,,,,,,,,,,,,N,,N,N,,,"Reception desk. Made in Italy.Dimensions200 x 76 x 106 H(78.75'' W x 29.9'' D x 41.7'' H)Lead times may vary, please contact us for more information.",,,,,"reception desk, modern reception desk, desk, reception",,,,Business & Industrial>Retail,,,,,,,,,FALSE,FALSE,,,,,,,,,,,"265,306",,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAF0200RE,http://www.salondesign.luxury/v/vspfiles/photos/GAF0200RE-1.jpg,Reception & Waiting,0,1443352912
GAVA002VE,,Opale Retail Display,,,,,10/31/2015 12:52,,,,1,,,,,,,,N,N,,,,,,"Freestanding retail, retail display, retail fixtures, retail",Opale Retail Display,200,N,,,,,,,,N,1105,,,,,,,Usually Ships in 6 to 8 Weeks,Opale Retail Display,Opale Retail Display,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,N,,N,,,,,,N,773.5,N,,,,,,,,,,,,,N,,N,N,,,"Display cabinet with structure and shelves in white translucent methacrylate material. Feet in polished aluminum. Made in Italy. Dimensions42 x 36 x 200 H(16.5'' W x 14.2'' D x 78.7'' H) Lead times may vary, please contact us for more information.",,,,,"Freestanding retail, retail display, retail fixtures, retail",,,,Business & Industrial>Retail>,,,,,,,,,FALSE,FALSE,,,,,,,,,,,313,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAVA002VE,http://www.salondesign.luxury/v/vspfiles/photos/GAVA002VE-1.jpg,Retail Display Fixtures > Freestanding,0,1446289079
GAVA003CA,,Bolido 100  Reception Desk,,,,,6/22/2015 10:21,,,,,,,,,,,,N,N,,,,,,"reception desk, modern reception desk, desk, reception",,500,N,,,,,,,,N,2760,,,,,,,Usually Ships in 6 to 8 Weeks,Bolido 100  Reception Desk,Bolido 100  Reception Desk,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,,,N,,,,,,N,1932,N,,,,,,,,,,,,,N,,N,N,,,"Cash desk with front panel in shaped and varnished beechwood. Structure in laminate with shelves, door and drawer with key. Polisched alluminium shelf or in varnished crystal on demand. Feet in polished aluminum. Made in Italy. Made in Italy.Dimensions100 x 62 x 110 H(39.4'' W x 24.4'' D x 43.3'' H) Lead times may vary, please contact us for more information.",,,,,"reception desk, modern reception desk, desk, reception",,,,Business & Industrial>Retail,,,,,,,,,FALSE,FALSE,,,,,,,,,,,"265,306",,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAVA003CA,http://www.salondesign.luxury/v/vspfiles/photos/GAVA003CA-1.jpg,Reception & Waiting,0,1434973933
GAVA003TA,,Taiki Styling Trolley,,,,,7/4/2015 06:53,,,,1,,,,,,,,N,N,,,,,,"styling station, hair salon station, Italian styling station, island styling station, island styling, three person styling station, salon equipment, modern salon equipment",,75,N,,,,,,,,N,863,,,,,,,Usually Ships in 6 to 8 Weeks,Taiki Styling Trolley,Taiki Styling Trolley,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,N,,N,,,,,,N,604.1,N,,,,,,,,,,,,,N,,N,N,,,"Trolley with castors with structure in Doluflex � aluminum. Drawers in ABS plastic material. Made in Italy.Dimensions38 x 26 x 88 H(15'' W x 10.2'' D x 34.6'' H) Lead times may vary, please contact us for more information.",,,,,"styling station, hair salon station, Italian styling station, island styling station, island styling, three person styling station, salon equipment, modern salon equipment",,,,Business & Industrial>Hairdressing & Cosmetology>,,,,,,,,,,,,,,,,,,,,,291,,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAVA003TA,http://www.salondesign.luxury/v/vspfiles/photos/GAVA003TA-1.jpg,Styling Area > Carts & Accessories,0,1434974354
GAVA004CA,,Bolido 150 Recption Desk,,,,,6/22/2015 10:21,,,,,,,,,,,,N,N,,,,,,"reception desk, modern reception desk, desk, reception",,500,N,,,,,,,,N,3262,,,,,,,Usually Ships in 6 to 8 Weeks,Bolido 150 Recption Desk,Bolido 150 Recption Desk,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,Gamma & Bross,,,N,,,,,,N,2283.4,N,,,,,,,,,,,,,N,,N,N,,,"Cash desk with front panel in shaped and varnished beechwood. Structure in laminate with shelves, door and drawer with key. Polished aluminum shelf or in varnished crystal. Feet in polished aluminum. Made in Italy.Dimensions147 x 64 x 110 H(57.9'' W x 25.2'' D x 43.3'' H)NotesShown in dark grey laquered wood finish, polished aluminum shelfLead times may vary, please contact us for more information.",,,,,"reception desk, modern reception desk, desk, reception",,,,Business & Industrial>Retail,,,,,,,,,FALSE,FALSE,,,,,,,,,,,"265,306",,,,https://www.salondesign.luxury/ProductDetails.asp?ProductCode=GAVA004CA,http://www.salondesign.luxury/v/vspfiles/photos/GAVA004CA-1.jpg,Reception & Waiting,0,1434974379
